Zip Code,Median Income,Median Age,Total Population,White Pop,Black Pop,Asian Pop,Hispanic Pop,Pacific Pop,Native Pop,Other Pop
01001,60775,44.3,17141,15839,193,498,1013,38,25,300
01002,55082,23,29844,23822,1395,3452,2252,0,113,155
01005,68361,42.7,5113,4992,13,96,71,0,7,2
01007,74221,41.8,14774,13922,169,271,377,0,0,67
01008,71979,47.8,1212,1202,0,7,7,0,0,3
01010,82365,46,3667,3667,0,0,45,0,0,0
01013,41342,35.8,22299,18553,618,371,5296,0,12,2316
01020,52236,43,30593,27076,861,391,3873,0,17,1500
01022,60353,41.2,2711,2202,288,18,130,0,0,47
01027,58551,45.1,17652,16312,127,580,796,0,4,238
01028,84173,45.6,15917,14928,572,258,473,0,6,14
01030,68326,44.2,11485,10908,149,170,598,0,166,49
01033,79647,44.1,6214,6166,0,0,370,0,0,14
01034,77448,47.1,2061,2000,6,9,15,0,15,4
01035,74737,45.6,5285,5036,141,59,247,0,0,34
01036,79639,48.9,5141,5067,23,0,51,0,0,0
01040,35550,35.6,40079,32474,1806,663,18829,0,188,4231
01050,52813,42.5,2512,2314,69,0,144,7,0,13
01056,61410,44.8,21288,20300,334,150,1139,11,24,282
01057,66343,46.8,8645,8371,32,24,122,0,0,38
01060,53427,34.4,15348,13049,449,1150,1196,13,25,333
01062,64727,44.6,10830,9549,245,640,806,0,0,174
01069,54412,41.9,8982,8893,39,10,111,0,0,0
01073,68693,44.3,5958,5805,38,0,18,0,0,0
01075,62408,41,17832,16255,674,472,823,23,16,116
01077,81967,43.9,9599,9279,4,154,49,0,0,0
01082,52709,43,10394,10062,19,41,217,31,13,22
01085,61211,38.4,41121,37037,770,1176,3469,70,20,1322
01089,52806,39.6,28554,24280,887,1190,2758,0,338,1295
01095,86908,48.1,14436,13755,308,163,359,0,0,47
01098,71500,53.4,1095,1053,3,11,10,4,0,7
01104,29184,36.1,22285,12933,2988,243,11849,15,21,5312
01106,106296,46.4,16077,14697,127,993,579,0,0,104
01108,35238,31.6,26670,14831,4526,1244,11069,30,279,4720
01109,32644,25.4,30987,10276,12398,449,11268,0,79,6167
01118,65231,39,14192,11232,1977,501,2522,0,0,247
01119,47417,35.2,13942,8848,3571,220,3589,0,120,894
01129,62280,40.2,7160,5147,1143,259,1174,0,0,359
01151,34280,28.2,9581,6423,1370,259,3979,12,20,885
01201,44120,43.5,45557,40052,2645,688,2328,0,92,611
01220,41950,43.9,8536,8254,58,0,80,0,24,41
01223,65033,52.5,2336,2273,10,12,29,0,4,6
01226,48320,47,6944,6795,58,5,217,0,11,20
01230,53180,46.9,8148,7053,97,132,881,0,0,457
01235,64507,46.5,2904,2794,32,3,22,0,20,12
01237,76346,38,2735,2716,10,4,5,0,0,0
01238,61492,45.9,6245,5955,10,158,177,0,0,120
01240,51396,56.4,4823,4585,52,117,131,0,11,0
01245,53833,54.4,807,775,11,0,23,0,0,0
01247,39636,43.1,15859,15054,303,41,452,0,76,36
01253,66250,49.1,683,672,5,0,17,0,0,0
01254,83750,56.9,1043,1002,2,12,25,0,13,8
01255,56250,48.1,896,818,0,36,12,0,2,6
01257,46917,52.4,2140,2070,12,43,21,0,0,15
01258,64250,62.5,334,322,7,0,4,0,1,4
01262,47250,52.1,1337,1181,59,31,31,0,0,5
01266,78333,51.9,1491,1420,3,9,20,0,16,0
01267,74167,35.1,7906,6931,190,337,325,0,87,109
01301,48612,42.9,17731,16477,311,316,1068,16,15,197
01331,51002,42.9,13264,12538,32,121,891,0,19,370
01360,60721,45.2,3031,2928,6,64,70,0,0,6
01364,41994,42.2,7932,7665,55,91,127,0,27,0
01373,67465,46.6,4406,4254,27,26,75,0,23,22
01420,46628,33.9,40419,31972,1556,1761,9652,0,95,3636
01430,85662,43.6,6133,5856,73,0,60,0,0,46
01431,83917,45.8,3147,3089,17,37,49,0,0,0
01432,66630,39.1,7337,6561,234,227,385,0,5,21
01440,46464,40,20293,18474,409,273,1631,0,101,597
01450,116686,44.3,10997,10302,115,400,189,0,21,3
01451,135357,46.7,4841,4355,228,179,163,0,19,8
01452,83438,43.6,4452,4310,114,9,0,0,0,0
01453,59248,41.4,40978,33910,2109,1074,6167,0,96,2472
01460,111652,43.6,9157,8414,24,432,97,0,0,15
01462,71055,44.5,10797,10112,174,184,475,0,0,122
01463,77767,42.3,11782,11253,78,194,349,0,0,27
01464,66453,40.3,7404,5500,689,64,1105,13,2,609
01468,70455,44.7,3682,3682,0,0,21,0,0,0
01469,81024,38.6,7328,6965,7,131,158,0,25,108
01473,87273,44.8,7361,7215,67,0,120,0,21,13
01475,59332,44.5,10466,9624,58,338,334,0,21,87
01501,73105,44.9,16136,15375,458,147,526,0,6,56
01504,72699,42.8,9055,8454,149,53,403,0,0,149
01505,102422,44.1,4399,4146,45,110,63,0,0,35
01506,63889,43.4,3396,3274,11,14,1,0,8,0
01507,91287,42.2,13126,12790,80,57,115,0,5,94
01510,64867,41.1,13675,12097,238,189,1522,0,85,379
01516,84390,40,8624,8415,37,12,321,0,0,0
01518,48676,49.8,2418,2418,0,0,20,0,0,0
01519,101205,40.4,6573,6006,299,153,13,0,0,2
01520,98979,41.5,14724,13890,160,480,346,29,7,22
01521,64868,43.9,2491,2389,54,5,104,0,0,0
01523,89808,37.1,7847,6798,524,71,491,0,31,288
01524,65225,40.9,7103,6951,43,71,335,0,0,11
01527,71676,43,13350,12679,154,337,424,0,8,1
01529,88281,41.2,3208,3017,40,31,89,0,0,32
01532,107111,42.6,14644,12634,217,1295,546,0,0,151
01534,82950,38.9,6303,6159,2,113,228,0,0,2
01535,58438,41.5,4715,4556,83,23,27,0,0,13
01536,72292,41.9,7138,6374,76,303,300,27,0,40
01537,75183,36.5,2392,2215,0,18,161,0,0,15
01540,67126,41.6,11219,10759,66,33,485,0,42,11
01541,114688,45,3432,3206,36,46,207,0,0,98
01543,91033,40.8,8188,7880,50,142,234,0,0,44
01545,97617,39.8,35818,27641,942,5924,1203,0,29,339
01550,42376,38.8,16775,12309,424,487,5434,0,50,3000
01560,78250,34.8,4565,3316,218,809,361,0,0,58
01562,60943,41.3,11746,11202,51,41,595,0,88,183
01564,90455,45.2,7870,7628,69,91,199,0,30,29
01566,93776,41.4,6945,6705,27,108,295,0,17,35
01568,110781,42.2,7453,6948,17,202,99,53,0,1
01569,88125,40.9,13703,13144,80,266,164,0,0,98
01570,48650,41.5,16806,14874,613,463,1485,0,0,508
01571,68053,35.9,11633,10888,233,81,256,0,19,11
01581,100552,42,18481,13642,543,3378,1208,0,52,246
01583,73474,37.9,7687,6833,455,50,382,0,7,124
01585,60521,44.9,4705,4472,128,30,34,0,0,7
01588,66591,39.7,9569,9017,40,115,175,0,0,91
01590,111788,43.7,9014,8839,58,40,1,0,0,0
01602,62888,38.5,24228,19311,2542,1027,2533,0,8,383
01603,46367,34.9,20380,14735,1954,2483,4849,35,91,469
01604,47865,35.4,34628,25877,4497,2613,5206,10,129,737
01605,36497,32.2,27387,16910,4473,1841,7716,28,88,1728
01606,66411,39.6,19043,15538,2282,628,1281,0,10,145
01607,42397,33.6,8991,6254,1318,437,1918,0,88,608
01609,41647,28.1,20948,15973,2053,1310,3106,46,105,574
01612,102614,38.5,4879,4281,155,24,518,0,0,296
01701,88498,43.4,31780,26608,2037,1899,1791,0,44,671
01702,52428,33.5,38180,25602,3585,3273,8069,10,35,3115
01720,119342,41.9,22197,16925,86,4646,444,0,33,21
01721,102721,41.6,16985,14684,482,1246,531,0,0,292
01730,114676,43.5,13709,11536,214,1561,612,0,0,135
01740,144461,42.7,5019,4843,13,110,181,0,0,17
01741,157500,48.5,4967,4356,50,382,69,0,9,8
01742,132736,46.7,18948,16463,583,1008,897,0,3,390
01746,108350,42.6,14008,13307,102,290,359,50,0,99
01747,99886,41.5,5934,5618,18,82,327,0,0,216
01748,128267,40.3,15604,14418,114,789,256,0,0,51
01749,74082,43,19464,17652,182,466,708,0,20,81
01752,71424,40,39141,31222,804,1786,4992,0,41,926
01754,79252,42.7,10314,9092,277,459,383,0,0,97
01756,112104,43.6,5895,5647,39,79,299,0,26,66
01757,68784,38.7,28391,24385,829,770,2403,21,85,1551
01760,99172,41.7,34043,29431,531,3170,1083,0,83,271
01770,155564,46,4200,3953,0,204,42,0,0,0
01772,155952,42,9560,7813,172,1384,90,0,0,33
01773,143897,49.1,5367,4512,190,474,212,0,0,105
01775,131500,43.5,6841,6463,0,152,232,0,14,78
01776,169505,43.7,18197,16180,8,1469,379,0,13,103
01778,141083,46.6,13421,11675,141,1486,331,0,0,18
01801,79034,40,39315,33660,1896,2567,1711,0,8,610
01803,95465,41.8,25190,20137,933,3553,499,20,0,43
01810,125321,41.5,34251,28758,590,3915,1481,0,14,444
01821,91605,40.7,31157,28585,481,1574,569,0,0,211
01824,103411,44.5,25582,23043,92,2010,701,0,79,143
01826,76879,40,30315,26824,865,1511,1577,0,20,559
01830,55237,38.8,26415,21614,475,106,5017,0,29,3482
01832,60351,38.4,22137,18268,581,284,5015,0,65,2462
01833,106898,41.7,8379,8049,39,46,85,8,7,54
01834,92898,45.6,6805,6658,45,102,175,0,0,0
01835,74156,37.7,13217,11833,454,397,742,0,21,362
01841,32367,30.5,47125,16965,3282,632,38655,0,162,24573
01843,43920,30.7,25440,10447,1739,1879,15940,0,23,10684
01844,68587,39.3,48159,38145,1662,1579,10323,0,241,5744
01845,100544,41.2,28963,25433,471,1891,1463,0,0,729
01850,51556,32,16198,10606,1323,1431,3558,0,0,2050
01851,52031,33.5,30379,13187,2404,11309,4049,8,217,2640
01852,48690,35.2,32735,20957,2112,4244,5979,5,67,3938
01854,42948,30.7,29214,17168,1718,5730,6142,21,53,3678
01860,80508,44.4,6536,6505,26,0,134,0,0,0
01862,98305,41.1,10904,9716,229,404,611,0,12,181
01863,74695,44.2,8913,7906,60,788,247,0,0,111
01864,112419,43.2,15249,13780,139,954,258,0,40,55
01867,104472,41.9,24687,23084,219,1018,655,0,23,114
01876,88794,44,29103,27245,534,744,521,0,72,102
01879,93108,41,11867,10856,62,650,330,0,26,11
01880,85694,42.2,25460,24069,155,753,665,0,17,207
01886,125143,42.5,22854,18764,128,3378,605,0,0,178
01887,100536,41.9,22907,21189,200,1051,394,0,0,55
01890,141829,43.1,21863,18803,171,2544,332,9,6,61
01902,37786,31.7,46119,21418,5969,4810,19072,64,97,11065
01904,81258,39.6,18053,14602,1221,524,2250,0,0,1065
01905,47694,32.5,25269,12585,3770,1690,9426,32,82,5836
01906,76141,44.8,27369,25444,569,663,1064,0,0,349
01907,96510,44.7,14123,13472,158,226,637,0,21,13
