,ZipCode,ZipName,State,County
0,1001,Agawam,MA,Hampden County
1,1002,Amherst,MA,Belchertown
2,1005,Barre,MA,Barre Town
3,1007,Belchertown,MA,Belchertown
4,1008,Blandford,MA,Hampden County
5,1010,Brimfield,MA,Hampden County
6,1013,Chicopee,MA,Hampden County
7,1020,Chicopee,MA,Hampden County
8,1022,Chicopee,MA,Hampden County
9,1027,Easthampton,MA,Hampshire County
10,1028,East Longmeadow,MA,Hampden County
11,1030,Feeding Hills,MA,Agawam
12,1033,Granby,MA,Belchertown
13,1034,Granville,MA,Hampden County
14,1035,Hadley,MA,Hampshire County
15,1036,Hampden,MA,Wilbraham
16,1040,Holyoke,MA,Hampden County
17,1050,Huntington,MA,Hampshire County
18,1056,Ludlow,MA,Hampden County
19,1057,Monson,MA,Hampden County
20,1060,Northampton,MA,Hampshire County
21,1062,Florence,MA,Leeds
22,1069,Palmer,MA,Palmer
23,1073,Southampton,MA,Hampshire County
24,1075,South Hadley,MA,Hampshire County
25,1077,Southwick,MA,Hampden County
26,1082,Ware,MA,Ware
27,1085,Westfield,MA,Hampden County
28,1089,West Springfield,MA,Hampden County
29,1095,Wilbraham,MA,Wilbraham
30,1098,Worthington,MA,Hampshire County
31,1104,Springfield,MA,Hampden County
32,1106,Longmeadow,MA,Hampden County
33,1108,Springfield,MA,Hampden County
34,1109,Springfield,MA,Hampden County
35,1118,Springfield,MA,Hampden County
36,1119,Springfield,MA,Hampden County
37,1129,Springfield,MA,Hampden County
38,1151,Indian Orchard,MA,Springfield
39,1201,Pittsfield,MA,Lenox
40,1220,Adams,MA,Adams
41,1223,Becket,MA,Lee
42,1226,Dalton,MA,Berkshire County
43,1230,Great Barrington,MA,Lee
44,1235,Hinsdale,MA,Berkshire County
45,1237,Lanesborough,MA,Berkshire County
46,1238,Lee,MA,Lee
47,1240,Lenox,MA,Lenox
48,1245,Monterey,MA,Berkshire County
49,1247,North Adams,MA,Berkshire County
50,1253,Otis,MA,Berkshire County
51,1254,Richmond,MA,Berkshire County
52,1255,Sandisfield,MA,Berkshire County
53,1257,Sheffield,MA,Berkshire County
54,1258,South Egremont,MA,Hillsdale
55,1262,Stockbridge,MA,Berkshire County
56,1266,West Stockbridge,MA,Berkshire County
57,1267,Williamstown,MA,Williamstown
58,1301,Greenfield,MA,Franklin County
59,1331,Athol,MA,Orange
60,1360,Northfield,MA,Franklin County
61,1364,Orange,MA,Orange
62,1373,South Deerfield,MA,Deerfield
63,1420,Fitchburg,MA,Lunenburg
64,1430,Ashburnham,MA,Winchendon
65,1431,Ashby,MA,Middlesex County
66,1432,Ayer,MA,Ayer
67,1440,Gardner,MA,Winchendon
68,1450,Groton,MA,Groton
69,1451,Harvard,MA,Ayer
70,1452,Hubbardston,MA,Worcester County
71,1453,Leominster,MA,Worcester County
72,1460,Littleton,MA,Middlesex County
73,1462,Lunenburg,MA,Lunenburg
74,1463,Pepperell,MA,Pepperell
75,1464,Shirley,MA,Shirley
76,1468,Templeton,MA,Winchendon
77,1469,Townsend,MA,Townsend
78,1473,Westminster,MA,Worcester County
79,1475,Winchendon,MA,Winchendon
80,1501,Auburn,MA,Oxford
81,1504,Blackstone,MA,Bellingham Town
82,1505,Boylston,MA,Worcester County
83,1506,Brookfield,MA,Worcester County
84,1507,Charlton,MA,Worcester County
85,1510,Clinton,MA,Clinton
86,1516,Douglas,MA,Oxford
87,1518,Fiskdale,MA,Sturbridge
88,1519,Grafton,MA,Worcester County
89,1520,Holden,MA,Rutland
90,1521,Holland,MA,Hampden County
91,1523,Lancaster,MA,Clinton
92,1524,Leicester,MA,Spencer
93,1527,Millbury,MA,Worcester County
94,1529,Millville,MA,Worcester County
95,1532,Northborough,MA,Northborough
96,1534,Northbridge,MA,Worcester County
97,1535,North Brookfield,MA,North Brookfield
98,1536,North Grafton,MA,Worcester County
99,1537,North Oxford,MA,Oxford
100,1540,Oxford,MA,Oxford
101,1541,Princeton,MA,Rutland
102,1543,Rutland,MA,Rutland
103,1545,Shrewsbury,MA,Northborough
104,1550,Southbridge,MA,Southbridge
105,1560,South Grafton,MA,Worcester County
106,1562,Spencer,MA,Spencer
107,1564,Sterling,MA,Clinton
108,1566,Sturbridge,MA,Sturbridge
109,1568,Upton,MA,Worcester County
110,1569,Uxbridge,MA,Worcester County
111,1570,Webster,MA,Worcester County
112,1571,Dudley,MA,Southbridge
113,1581,Westborough,MA,Westborough
114,1583,West Boylston,MA,Worcester County
115,1585,West Brookfield,MA,Worcester County
116,1588,Whitinsville,MA,Northbridge
117,1590,Sutton,MA,Oxford
118,1602,Worcester,MA,Worcester County
119,1603,Worcester,MA,Worcester County
120,1604,Worcester,MA,Worcester County
121,1605,Worcester,MA,Worcester County
122,1606,Worcester,MA,Worcester County
123,1607,Worcester,MA,Worcester County
124,1609,Worcester,MA,Worcester County
125,1612,Paxton,MA,Worcester County
126,1701,Framingham,MA,Middlesex County
127,1702,Framingham,MA,Middlesex County
128,1720,Acton,MA,Middlesex County
129,1721,Ashland,MA,Hopkinton Township
130,1730,Bedford,MA,Middlesex County
131,1740,Bolton,MA,Worcester County
132,1741,Carlisle,MA,Middlesex County
133,1742,Concord,MA,Middlesex County
134,1746,Holliston,MA,Hopkinton Township
135,1747,Hopedale,MA,Hopedale
136,1748,Hopkinton,MA,Hopkinton Township
137,1749,Hudson,MA,Hudson CDP
138,1752,Marlborough,MA,Middlesex County
139,1754,Maynard,MA,Middlesex County
140,1756,Mendon,MA,Worcester County
141,1757,Milford,MA,Worcester County
142,1760,Natick,MA,Middlesex County
143,1770,Sherborn,MA,Middlesex County
144,1772,Southborough,MA,Westborough
145,1773,Lincoln,MA,Middlesex County
146,1775,Stow,MA,Hudson CDP
147,1776,Sudbury,MA,Middlesex County
148,1778,Wayland,MA,Middlesex County
149,1801,Woburn,MA,Middlesex County
150,1803,Burlington,MA,Middlesex County
151,1810,Andover,MA,Andover
152,1821,Billerica,MA,Middlesex County
153,1824,Chelmsford,MA,Middlesex County
154,1826,Dracut,MA,Andover
155,1830,Haverhill,MA,Essex County
156,1832,Haverhill,MA,Essex County
157,1833,Georgetown,MA,Essex County
158,1834,Groveland,MA,Essex County
159,1835,Haverhill,MA,Essex County
160,1841,Lawrence,MA,Essex County
161,1843,Lawrence,MA,Essex County
162,1844,Methuen,MA,Andover
163,1845,North Andover,MA,Essex County
164,1850,Lowell,MA,Middlesex County
165,1851,Lowell,MA,Middlesex County
166,1852,Lowell,MA,Middlesex County
167,1854,Lowell,MA,Middlesex County
168,1860,Merrimac,MA,Essex County
169,1862,North Billerica,MA,Billerica
170,1863,North Chelmsford,MA,Chelmsford
171,1864,North Reading,MA,Andover
172,1867,Reading,MA,Middlesex County
173,1876,Tewksbury,MA,Andover
174,1879,Tyngsboro,MA,Hudson Town
175,1880,Wakefield,MA,Middlesex County
176,1886,Westford,MA,Middlesex County
177,1887,Wilmington,MA,Middlesex County
178,1890,Winchester,MA,Middlesex County
179,1902,Lynn,MA,Essex County
180,1904,Lynn,MA,Essex County
181,1905,Lynn,MA,Essex County
182,1906,Saugus,MA,Essex County
183,1907,Swampscott,MA,Essex County
184,1908,Nahant,MA,Essex County
185,1913,Amesbury,MA,Essex County
186,1915,Beverly,MA,Essex County
187,1921,Boxford,MA,Boxford
188,1923,Danvers,MA,Topsfield
189,1929,Essex,MA,Essex County
190,1930,Gloucester,MA,Ipswich
191,1938,Ipswich,MA,Ipswich
192,1940,Lynnfield,MA,Essex County
193,1944,Manchester,MA,Essex County
194,1945,Marblehead,MA,Essex County
195,1949,Middleton,MA,Boxford
196,1950,Newburyport,MA,Essex County
197,1951,Newbury,MA,Rowley
198,1952,Salisbury,MA,Essex County
199,1960,Peabody,MA,Essex County
200,1966,Rockport,MA,Essex County
201,1969,Rowley,MA,Rowley
202,1970,Salem,MA,Essex County
203,1982,South Hamilton,MA,Hamilton
204,1983,Topsfield,MA,Topsfield
205,1984,Wenham,MA,Essex County
206,1985,West Newbury,MA,Essex County
207,2019,Bellingham,MA,Bellingham Town
208,2021,Canton,MA,Norfolk County
209,2025,Cohasset,MA,Hingham
210,2026,Dedham,MA,Norfolk County
211,2030,Dover,MA,Dover
212,2035,Foxboro,MA,Norfolk County
213,2038,Franklin,MA,Bellingham Town
214,2043,Hingham,MA,Hingham
215,2045,Hull,MA,Hingham
216,2048,Mansfield,MA,Sharon
217,2050,Marshfield,MA,Marshfield
218,2052,Medfield,MA,Medfield
219,2053,Medway,MA,Norfolk County
220,2054,Millis,MA,Norfolk County
221,2056,Norfolk,MA,Walpole
222,2061,Norwell,MA,Plymouth County
223,2062,Norwood,MA,Norfolk County
224,2066,Scituate,MA,Plymouth County
225,2067,Sharon,MA,Sharon
226,2072,Stoughton,MA,Sharon
227,2081,Walpole,MA,Walpole
228,2090,Westwood,MA,Dover
229,2093,Wrentham,MA,Norfolk County
230,2108,Boston,MA,Suffolk County
231,2110,Boston,MA,Suffolk County
232,2111,Boston,MA,Suffolk County
233,2114,Boston,MA,Suffolk County
234,2115,Boston,MA,Suffolk County
235,2116,Boston,MA,Suffolk County
236,2118,Boston,MA,Suffolk County
237,2119,Roxbury,MA,Dorchester Center
238,2122,Dorchester,MA,Dorchester Center
239,2124,Dorchester Center,MA,Boston
240,2125,Dorchester,MA,Dorchester Center
241,2127,Boston,MA,Suffolk County
242,2128,Boston,MA,Suffolk County
243,2129,Charlestown,MA,Boston
244,2130,Jamaica Plain,MA,Dorchester Center
245,2131,Roslindale,MA,Dorchester Center
246,2132,West Roxbury,MA,Boston
247,2135,Brighton,MA,Boston
248,2136,Hyde Park,MA,Boston
249,2138,Cambridge,MA,Middlesex County
250,2143,Somerville,MA,Middlesex County
251,2144,Somerville,MA,Middlesex County
252,2145,Somerville,MA,Middlesex County
253,2148,Malden,MA,Middlesex County
254,2149,Everett,MA,Middlesex County
255,2150,Chelsea,MA,Suffolk County
256,2151,Revere,MA,Suffolk County
257,2152,Winthrop,MA,Suffolk County
258,2155,Medford,MA,Middlesex County
259,2169,Quincy,MA,Norfolk County
260,2171,Quincy,MA,Norfolk County
261,2176,Melrose,MA,Middlesex County
262,2180,Stoneham,MA,Middlesex County
263,2184,Braintree,MA,Norfolk County
264,2186,Milton,MA,Norfolk County
265,2188,Weymouth,MA,Hingham
266,2189,East Weymouth,MA,Hingham
267,2190,South Weymouth,MA,Weymouth
268,2191,North Weymouth,MA,Hingham
269,2301,Brockton,MA,Plymouth County
270,2302,Brockton,MA,Plymouth County
271,2324,Bridgewater,MA,Bridgewater
272,2330,Carver,MA,Plymouth County
273,2332,Duxbury,MA,Duxbury
274,2333,East Bridgewater,MA,Plymouth County
275,2338,Halifax,MA,Plymouth County
276,2339,Hanover,MA,Hanson
277,2341,Hanson,MA,Hanson
278,2343,Holbrook,MA,Norfolk County
279,2346,Middleboro,MA,Bridgewater
280,2347,Lakeville,MA,Plymouth County
281,2351,Abington,MA,Plymouth County
282,2356,North Easton,MA,Bristol County
283,2359,Pembroke,MA,Plymouth County
284,2360,Plymouth,MA,Plymouth County
285,2364,Kingston,MA,Kingston
286,2368,Randolph,MA,Norfolk County
287,2370,Rockland,MA,Plymouth County
288,2375,South Easton,MA,Bristol County
289,2379,West Bridgewater,MA,Bridgewater
290,2382,Whitman,MA,Plymouth County
291,2420,Lexington,MA,Middlesex County
292,2421,Lexington,MA,Middlesex County
293,2445,Brookline,MA,Norfolk County
294,2446,Brookline,MA,Norfolk County
295,2451,Waltham,MA,Middlesex County
296,2452,Waltham,MA,Middlesex County
297,2453,Waltham,MA,Middlesex County
298,2458,Newton,MA,Middlesex County
299,2459,Newton Center,MA,Newton
300,2465,West Newton,MA,Newton
301,2467,Chestnut Hill,MA,Newton
302,2468,Waban,MA,Newton
303,2472,Watertown,MA,Middlesex County
304,2474,Arlington,MA,Middlesex County
305,2476,Arlington,MA,Middlesex County
306,2478,Belmont,MA,Middlesex County
307,2481,Wellesley Hills,MA,Wellesley
308,2482,Wellesley,MA,Norfolk County
309,2492,Needham,MA,Dover
310,2493,Weston,MA,Middlesex County
311,2494,Needham Heights,MA,Needham
312,2532,Buzzards Bay,MA,Bourne
313,2536,East Falmouth,MA,Falmouth
314,2537,East Sandwich,MA,Sandwich
315,2538,East Wareham,MA,Wareham
316,2539,Edgartown,MA,Dukes County
317,2540,Falmouth,MA,Sandwich
318,2543,Woods Hole,MA,Falmouth
319,2554,Nantucket,MA,Nantucket County
320,2556,North Falmouth,MA,Otis Air National Guard Base
321,2557,Oak Bluffs,MA,Dukes County
322,2559,Pocasset,MA,Otis Air National Guard Base
323,2562,Sagamore Beach,MA,Bourne
324,2563,Sandwich,MA,Sandwich
325,2568,Vineyard Haven,MA,Tisbury
326,2571,Wareham,MA,Plymouth County
327,2575,West Tisbury,MA,Dukes County
328,2576,West Wareham,MA,Wareham
329,2601,Hyannis,MA,Barnstable
330,2630,Barnstable,MA,Sandwich
331,2631,Brewster,MA,Brewster Town
332,2632,Centerville,MA,Barnstable
333,2633,Chatham,MA,Chatham
334,2635,Cotuit,MA,Barnstable
335,2638,Dennis,MA,Dennis Town
336,2639,Dennis Port,MA,Dennis
337,2642,Eastham,MA,Orleans Town
338,2644,Forestdale,MA,Otis Air National Guard Base
339,2645,Harwich,MA,Barnstable County
340,2646,Harwich Port,MA,Harwich
341,2648,Marstons Mills,MA,Barnstable
342,2649,Mashpee,MA,Sandwich
343,2650,North Chatham,MA,Chatham
344,2652,North Truro,MA,Barnstable County
345,2653,Orleans,MA,Orleans Town
346,2655,Osterville,MA,Barnstable
347,2657,Provincetown,MA,Barnstable County
348,2659,South Chatham,MA,Chatham
349,2660,South Dennis,MA,Dennis
350,2664,South Yarmouth,MA,Yarmouth
351,2666,Truro,MA,Barnstable County
352,2667,Wellfleet,MA,Barnstable County
353,2668,West Barnstable,MA,Barnstable
354,2670,West Dennis,MA,Dennis
355,2671,West Harwich,MA,Harwich
356,2673,West Yarmouth,MA,Yarmouth
357,2675,Yarmouth Port,MA,Yarmouth
358,2702,Assonet,MA,Freetown
359,2703,Attleboro,MA,Bristol County
360,2715,Dighton,MA,Bristol County
361,2717,East Freetown,MA,Freetown
362,2718,East Taunton,MA,Taunton
363,2719,Fairhaven,MA,Bristol County
364,2720,Fall River,MA,Bristol County
365,2721,Fall River,MA,Bristol County
366,2723,Fall River,MA,Bristol County
367,2724,Fall River,MA,Bristol County
368,2726,Somerset,MA,Bristol County
369,2738,Marion,MA,Plymouth County
370,2739,Mattapoisett,MA,Plymouth County
371,2740,New Bedford,MA,Bristol County
372,2743,Acushnet,MA,Bristol County
373,2745,New Bedford,MA,Bristol County
374,2747,North Dartmouth,MA,Dartmouth
375,2748,South Dartmouth,MA,Dartmouth
376,2760,North Attleboro,MA,Bristol County
377,2762,Plainville,MA,Norfolk County
378,2764,North Dighton,MA,Bristol County
379,2766,Norton,MA,Bristol County
380,2767,Raynham,MA,Bridgewater
381,2769,Rehoboth,MA,Bristol County
382,2770,Rochester,MA,Plymouth County
383,2771,Seekonk,MA,Bristol County
384,2777,Swansea,MA,Bristol County
385,2779,Berkley,MA,Bristol County
386,2780,Taunton,MA,Bristol County
387,2790,Westport,MA,Tiverton
388,2804,Ashaway,RI,Hopkinton
389,2806,Barrington,RI,Bristol County
390,2807,Block Island,RI,New Shoreham
391,2809,Bristol,RI,Portsmouth
392,2813,Charlestown,RI,Westerly
393,2814,Chepachet,RI,Glocester
394,2816,Coventry,RI,Kent County
395,2817,West Greenwich,RI,Kent County
396,2818,East Greenwich,RI,Kent County
397,2822,Exeter,RI,Washington County
398,2825,Foster,RI,Providence County
399,2828,Greenville,RI,Smithfield
400,2830,Harrisville,RI,Burrillville
401,2831,Hope,RI,Scituate
402,2832,Hope Valley,RI,Hopkinton
403,2835,Jamestown,RI,Portsmouth
404,2837,Little Compton,RI,Tiverton
405,2840,Newport,RI,Newport County
406,2842,Middletown,RI,Portsmouth
407,2852,North Kingstown,RI,Portsmouth
408,2857,North Scituate,RI,Scituate
409,2859,Pascoag,RI,Burrillville
410,2860,Pawtucket,RI,Providence County
411,2861,Pawtucket,RI,Providence County
412,2864,Cumberland,RI,Providence County
413,2865,Lincoln,RI,Providence County
414,2871,Portsmouth,RI,Portsmouth
415,2874,Saunderstown,RI,North Kingstown
416,2878,Tiverton,RI,Tiverton
417,2879,Wakefield,RI,Town of South Kingstown
418,2882,Narragansett,RI,Washington County
419,2885,Warren,RI,Bristol County
420,2886,Warwick,RI,Portsmouth
421,2888,Warwick,RI,Portsmouth
422,2889,Warwick,RI,Portsmouth
423,2891,Westerly,RI,Westerly
424,2892,West Kingston,RI,South Kingstown
425,2893,West Warwick,RI,Kent County
426,2895,Woonsocket,RI,Providence County
427,2896,North Smithfield,RI,Providence County
428,2903,Providence,RI,Providence County
429,2904,Providence,RI,Providence County
430,2905,Providence,RI,Providence County
431,2906,Providence,RI,Providence County
432,2907,Providence,RI,Providence County
433,2908,Providence,RI,Providence County
434,2909,Providence,RI,Providence County
435,2910,Cranston,RI,Providence County
436,2911,North Providence,RI,Providence County
437,2914,East Providence,RI,Providence County
438,2915,Riverside,RI,East Providence
439,2916,Rumford,RI,East Providence
440,2917,Smithfield,RI,Providence County
441,2919,Johnston,RI,Providence County
442,2920,Cranston,RI,Providence County
443,2921,Cranston,RI,Providence County
444,3031,Amherst,NH,Milford Town
445,3032,Auburn,NH,Rockingham County
446,3033,Brookline,NH,Hillsborough County
447,3036,Chester,NH,Derry
448,3037,Deerfield,NH,Rockingham County
449,3038,Derry,NH,Derry
450,3042,Epping,NH,Rockingham County
451,3043,Francestown,NH,Hillsborough County
452,3044,Fremont,NH,Rockingham County
453,3045,Goffstown,NH,Hooksett
454,3048,Greenville,NH,Hillsborough County
455,3049,Hollis,NH,Hillsborough County
456,3051,Hudson,NH,Hudson Town
457,3052,Litchfield,NH,Hillsborough County
458,3053,Londonderry,NH,Londonderry
459,3054,Merrimack,NH,Hillsborough County
460,3055,Milford,NH,Milford Town
461,3057,Mont Vernon,NH,Milford Town
462,3060,Nashua,NH,Hudson Town
463,3062,Nashua,NH,Hudson Town
464,3063,Nashua,NH,Hudson Town
465,3064,Nashua,NH,Hudson Town
466,3070,New Boston,NH,Hillsborough County
467,3071,New Ipswich,NH,Hillsborough County
468,3076,Pelham,NH,Hudson Town
469,3077,Raymond,NH,Rockingham County
470,3079,Salem,NH,Rockingham County
471,3086,Wilton,NH,Wilton
472,3087,Windham,NH,Rockingham County
473,3102,Manchester,NH,Hillsborough County
474,3103,Manchester,NH,Hillsborough County
475,3104,Manchester,NH,Hillsborough County
476,3106,Hooksett,NH,Hooksett
477,3109,Manchester,NH,Hillsborough County
478,3110,Bedford,NH,Hillsborough County
479,3216,Andover,NH,Merrimack County
480,3217,Ashland,NH,Grafton County
481,3220,Belmont,NH,Belknap County
482,3221,Bradford,NH,Henniker
